InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,DayOfWeek,PriceDiff,PriceDiffNote,InvoiceMonth
554697,21166,COOK WITH WINE METAL SIGN ,1,2011-05-25 17:31:00,2.08,14584,United Kingdom,2.08,Wednesday,0.0,,2011-05-01
561038,82482,WOODEN PICTURE FRAME WHITE FINISH,2,2011-07-24 11:58:00,2.55,17114,United Kingdom,5.1,Sunday,0.0,,2011-07-01
560552,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,1,2011-07-19 12:54:00,1.65,15311,United Kingdom,1.65,Tuesday,0.0,,2011-07-01
559884,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,12,2011-07-13 11:34:00,1.25,16843,United Kingdom,15.0,Wednesday,,First entry,2011-07-01
544450,21789,KIDS RAIN MAC PINK,3,2011-02-20 12:23:00,0.85,17811,United Kingdom,2.55,Sunday,,First entry,2011-02-01
571046,23295,SET OF 12 MINI LOAF BAKING CASES,3,2011-10-13 13:35:00,0.83,18096,United Kingdom,2.4899999999999998,Thursday,0.0,,2011-10-01
537604,37446,MINI CAKE STAND WITH HANGING CAKES,8,2010-12-07 13:01:00,1.45,13488,United Kingdom,11.6,Tuesday,,First entry,2010-12-01
565200,23266,SET OF 3 WOODEN STOCKING DECORATION,1,2011-09-01 16:30:00,1.25,17576,United Kingdom,1.25,Thursday,,First entry,2011-09-01
564167,85099F,JUMBO BAG STRAWBERRY,10,2011-08-23 13:50:00,2.08,17735,United Kingdom,20.8,Tuesday,0.0,,2011-08-01
570503,21892,TRADITIONAL WOODEN CATCH CUP GAME ,4,2011-10-11 09:26:00,1.25,17965,United Kingdom,5.0,Tuesday,0.0,,2011-10-01
580958,23332,IVORY WICKER HEART LARGE,6,2011-12-06 14:30:00,1.65,17266,United Kingdom,9.899999999999999,Tuesday,0.0,,2011-12-01
580727,22460,EMBOSSED GLASS TEALIGHT HOLDER,13,2011-12-05 17:17:00,2.46,14096,United Kingdom,31.98,Monday,1.21,,2011-12-01
547891,22383,LUNCH BAG SUKI  DESIGN ,10,2011-03-28 10:14:00,1.65,13266,United Kingdom,16.5,Monday,0.0,,2011-03-01
545978,22560,TRADITIONAL MODELLING CLAY,3,2011-03-08 12:19:00,1.25,13975,United Kingdom,3.75,Tuesday,0.0,,2011-03-01
555127,22817,CARD SUKI BIRTHDAY,12,2011-05-31 15:30:00,0.42,15241,United Kingdom,5.04,Tuesday,,First entry,2011-05-01
553198,22544,MINI JIGSAW SPACEBOY,12,2011-05-15 14:48:00,0.42,13752,United Kingdom,5.04,Sunday,,First entry,2011-05-01
565563,20982,12 PENCILS TALL TUBE SKULLS,1,2011-09-05 12:18:00,0.85,14177,United Kingdom,0.85,Monday,,First entry,2011-09-01
573909,23296,SET OF 6 TEA TIME BAKING CASES,1,2011-11-01 15:26:00,1.25,17813,United Kingdom,1.25,Tuesday,0.0,,2011-11-01
543631,21500,PINK POLKADOT WRAP ,25,2011-02-10 16:17:00,0.42,14081,United Kingdom,10.5,Thursday,0.0,,2011-02-01
548870,21188,3D HEARTS  HONEYCOMB PAPER GARLAND,4,2011-04-04 14:41:00,2.95,14606,United Kingdom,11.8,Monday,,First entry,2011-04-01
545996,21679,SKULLS  STICKERS,1,2011-03-08 14:12:00,0.85,14367,United Kingdom,0.85,Tuesday,0.0,,2011-03-01
561616,23338,EGG FRYING PAN RED ,2,2011-07-28 13:02:00,2.08,15023,United Kingdom,4.16,Thursday,,First entry,2011-07-01
545681,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2011-03-06 11:28:00,1.25,16923,United Kingdom,15.0,Sunday,0.0,,2011-03-01
546920,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2011-03-18 09:55:00,2.95,12471,Germany,17.700000000000003,Friday,0.0,,2011-03-01
564733,82001S,VINYL RECORD FRAME SILVER,1,2011-08-28 13:18:00,3.75,17841,United Kingdom,3.75,Sunday,,First entry,2011-08-01
545690,22079,RIBBON REEL HEARTS DESIGN ,1,2011-03-06 12:46:00,1.65,13263,United Kingdom,1.65,Sunday,0.0,,2011-03-01
561875,23311,VINTAGE CHRISTMAS STOCKING ,24,2011-07-31 12:05:00,2.55,14885,United Kingdom,61.199999999999996,Sunday,,First entry,2011-07-01
537888,22454,MEASURING TAPE BABUSHKA RED,6,2010-12-09 10:04:00,2.95,15358,United Kingdom,17.700000000000003,Thursday,,First entry,2010-12-01
554816,23101,SILVER STARS TABLE DECORATION,3,2011-05-26 14:01:00,0.83,17550,United Kingdom,2.4899999999999998,Thursday,,First entry,2011-05-01
544700,22138,BAKING SET 9 PIECE RETROSPOT ,2,2011-02-23 10:10:00,4.95,18041,United Kingdom,9.9,Wednesday,,First entry,2011-02-01
572741,23320,GIANT 50'S CHRISTMAS CRACKER,12,2011-10-25 15:47:00,2.89,14341,United Kingdom,34.68,Tuesday,0.0,,2011-10-01
568062,85015,SET OF 12  VINTAGE POSTCARD SET,24,2011-09-23 13:18:00,0.65,14014,United Kingdom,15.600000000000001,Friday,,First entry,2011-09-01
543354,21916,SET 12 RETRO WHITE CHALK STICKS,24,2011-02-07 13:50:00,0.42,13458,United Kingdom,10.08,Monday,0.0,,2011-02-01
576062,23205,CHARLOTTE BAG ALPHABET  DESIGN,5,2011-11-13 15:30:00,0.85,12867,United Kingdom,4.25,Sunday,0.0,,2011-11-01
